GZ1_OBJID,DR10_RELEASE,DR10_BRICKID,DR10_OBJID,LABEL
587722982282231949,10000,326816,3389,ANTICLOCKWISE
587722982283411484,10000,326826,8725,ANTICLOCKWISE
587722982284722392,10000,326839,446,CLOCKWISE
587722982286753946,10000,326857,2700,CLOCKWISE
587722982288261152,10000,326871,1621,CLOCKWISE
587722982288326849,10000,326871,5494,CLOCKWISE
587722982288523390,10000,326873,3240,ANTICLOCKWISE
587722982289440993,10000,326882,1591,ANTICLOCKWISE
587722982289506497,10000,326882,5417,CLOCKWISE
587722982290948344,10000,326896,1683,CLOCKWISE
587722982291210436,10000,326898,2182,ANTICLOCKWISE
587722982291734755,10000,326903,1918,CLOCKWISE
587722982292062358,10000,326906,3929,CLOCKWISE
587722982294487342,10000,326928,3213,ANTICLOCKWISE
587722982295339611,10000,326936,2781,CLOCKWISE
587722982295470273,10000,326936,13291,ANTICLOCKWISE
587722982295929067,10000,326941,2447,ANTICLOCKWISE
587722982297305365,10000,326953,5212,ANTICLOCKWISE
587722982300058102,10000,326979,2032,CLOCKWISE
587722982303662347,10000,327012,1712,CLOCKWISE
587722982807699585,10000,329591,4868,ANTICLOCKWISE
587722982808617216,10000,328160,4953,ANTICLOCKWISE
587722982808813659,10000,329602,4826,CLOCKWISE
587722982809534568,10000,329608,4386,ANTICLOCKWISE
587722982813925472,10000,329649,1817,CLOCKWISE
587722982815563822,10000,329663,6295,CLOCKWISE
587722982815629407,10000,328224,5265,ANTICLOCKWISE
587722982818906310,10000,328254,8505,CLOCKWISE
587722982820020337,10000,328264,3525,CLOCKWISE
587722982821396706,10000,329717,2897,ANTICLOCKWISE
587722982821724281,10000,329720,876,ANTICLOCKWISE
587722982823559383,10000,329736,5540,ANTICLOCKWISE
587722982823624928,10000,329737,4832,ANTICLOCKWISE
587722982824280230,10000,328303,1956,ANTICLOCKWISE
587722982825656566,10000,328316,1386,CLOCKWISE
587722982825656587,10000,329756,2251,CLOCKWISE
587722982826573968,10000,329764,3109,CLOCKWISE
587722982827622551,10000,329774,167,CLOCKWISE
587722982827688093,10000,329774,2973,ANTICLOCKWISE
587722982827688157,10000,329774,5107,CLOCKWISE
587722982828605567,10000,328343,4996,CLOCKWISE
587722982829391920,10000,328350,5432,ANTICLOCKWISE
587722982829391928,10000,329790,5317,ANTICLOCKWISE
587722982829981942,10000,329795,7937,CLOCKWISE
587722982830113139,10000,329797,2226,ANTICLOCKWISE
587722982830309633,10000,329798,10292,CLOCKWISE
587722982830506292,10000,329800,5041,ANTICLOCKWISE
587722982830637180,10000,328361,11699,ANTICLOCKWISE
587722982831095933,10000,328365,11922,ANTICLOCKWISE
587722982831358015,10000,329808,2604,CLOCKWISE
587722982832144786,10000,329815,10375,ANTICLOCKWISE
587722982832669003,10000,329820,3967,CLOCKWISE
587722982832865541,10000,329821,15789,CLOCKWISE
587722982833324286,10000,329825,6748,ANTICLOCKWISE
587722982833586580,10000,328388,5870,CLOCKWISE
587722982833717638,10000,329829,6672,CLOCKWISE
587722982833848688,10000,329831,549,CLOCKWISE
587722982835749172,10000,329848,3164,ANTICLOCKWISE
587722982836076841,10000,329851,1216,ANTICLOCKWISE
587722982836600881,10000,329856,970,CLOCKWISE
587722982836666765,10000,328417,59,ANTICLOCKWISE
587722982838501889,10000,329873,4406,CLOCKWISE
587722982838698001,10000,329875,463,ANTICLOCKWISE
587722982838829513,10000,329876,3665,ANTICLOCKWISE
587722982839484662,10000,329882,10858,CLOCKWISE
587722982839615861,10000,329883,6192,ANTICLOCKWISE
587722982842040343,10000,329905,5049,ANTICLOCKWISE
587722982843416865,10000,329918,4917,CLOCKWISE
587722982843744825,10000,329921,1523,ANTICLOCKWISE
587722982843744826,10000,329921,1620,ANTICLOCKWISE
587722983345356914,10000,332479,2474,ANTICLOCKWISE
587722983345488023,10000,331040,4635,ANTICLOCKWISE
587722983346012229,10000,332485,1087,CLOCKWISE
587722983346077869,10000,331046,268,CLOCKWISE
587722983346208943,10000,332486,5409,CLOCKWISE
587722983347454050,10000,331058,4732,ANTICLOCKWISE
587722983348895834,10000,331071,2690,ANTICLOCKWISE
587722983350075511,10000,332522,3480,ANTICLOCKWISE
587722983350272157,10000,331084,963,ANTICLOCKWISE
587722983354859645,10000,331126,1300,ANTICLOCKWISE
587722983355514966,10000,331132,3984,ANTICLOCKWISE
587722983358333168,10000,331157,3716,CLOCKWISE
587722983358464168,10000,332598,4678,ANTICLOCKWISE
587722983358529854,10000,331159,5188,CLOCKWISE
587722983358857428,10000,331162,3684,ANTICLOCKWISE
587722983359054011,10000,332604,2422,ANTICLOCKWISE
587722983360364911,10000,332616,1158,CLOCKWISE
587722983361675427,10000,331188,1447,CLOCKWISE
587722983362920580,10000,331199,2817,CLOCKWISE
587722983363444951,10000,331204,2269,CLOCKWISE
587722983363445035,10000,331204,4914,ANTICLOCKWISE
587722983363575968,10000,332645,4527,CLOCKWISE
587722983364165873,10000,332651,1713,ANTICLOCKWISE
587722983364821135,10000,331217,946,CLOCKWISE
587722983365869710,10000,332666,7714,ANTICLOCKWISE
587722983366262983,10000,332670,5595,CLOCKWISE
587722983367377138,10000,332680,4224,ANTICLOCKWISE
587722983369277678,10000,331258,897,CLOCKWISE
587722983369998735,10000,332704,4376,ANTICLOCKWISE
587722983370653979,10000,332710,2742,CLOCKWISE
587722983370719473,10000,332710,6975,ANTICLOCKWISE
587722983371899178,10000,332721,9535,ANTICLOCKWISE
587722983372882240,10000,331290,4434,CLOCKWISE
587722983372882325,10000,331290,7188,CLOCKWISE
587722983372947750,10000,331291,1956,ANTICLOCKWISE
587722983373406487,10000,331295,2412,ANTICLOCKWISE
587722983373471949,10000,331295,6863,CLOCKWISE
587722983373734012,10000,331298,5084,CLOCKWISE
587722983373865207,10000,332739,7671,ANTICLOCKWISE
587722983375831389,10000,332757,3946,ANTICLOCKWISE
587722983376880082,10000,331327,1874,ANTICLOCKWISE
587722983880982602,10000,333907,5044,ANTICLOCKWISE
587722983881834682,10000,333916,79,CLOCKWISE
587722983882686474,10000,333923,1933,ANTICLOCKWISE
587722983887536201,10000,333967,4283,CLOCKWISE
587722983889698846,10000,333987,3191,ANTICLOCKWISE
587722983890944174,10000,333999,2104,ANTICLOCKWISE
587722983891075142,10000,334000,4189,ANTICLOCKWISE
587722983892779235,10000,334015,15403,CLOCKWISE
587722983894155415,10000,334028,1533,CLOCKWISE
587722983894417548,10000,334030,5095,ANTICLOCKWISE
587722983895990379,10000,334045,1109,ANTICLOCKWISE
587722983895990506,10000,334045,1637,ANTICLOCKWISE
587722983896318179,10000,334048,1169,CLOCKWISE
587722983897432343,10000,334058,2567,CLOCKWISE
587722983897956617,10000,334063,938,ANTICLOCKWISE
587722983898349836,10000,334066,4033,ANTICLOCKWISE
587722983898874043,10000,335511,2864,ANTICLOCKWISE
587722983900053761,10000,334082,2739,ANTICLOCKWISE
587722983901233336,10000,334092,4470,ANTICLOCKWISE
587722983904969020,10000,334127,1754,CLOCKWISE
587722983905100085,10000,334128,6191,CLOCKWISE
587722983905624360,10000,334133,742,ANTICLOCKWISE
587722983908311395,10000,334157,3207,CLOCKWISE
587722983908442343,10000,334158,4288,CLOCKWISE
587722983909032152,10000,334163,10312,CLOCKWISE
587722983909228843,10000,334165,8660,CLOCKWISE
587722983910211819,10000,334174,5641,ANTICLOCKWISE
587722983911326116,10000,334185,2127,CLOCKWISE
587722983913357526,10000,334203,7647,ANTICLOCKWISE
587722983915782698,10000,334225,8688,CLOCKWISE
587722983916110397,10000,334228,6652,CLOCKWISE
587722984419623022,10000,336804,1101,CLOCKWISE
587722984419885164,10000,336806,3183,CLOCKWISE
587722984424210539,10000,335405,6566,CLOCKWISE
587722984430698650,10000,336905,787,ANTICLOCKWISE
587722984432730286,10000,336923,6593,CLOCKWISE
587722984438300866,10000,335534,4851,ANTICLOCKWISE
587722984439414978,10000,336984,11039,ANTICLOCKWISE
587722984440004754,10000,335550,1080,CLOCKWISE
587722984440791383,10000,336997,10245,CLOCKWISE
587722984440922384,10000,336998,9846,CLOCKWISE
587722984443216075,10000,337019,6100,ANTICLOCKWISE
587722984443412771,10000,337021,2071,CLOCKWISE
587722984445968604,10000,335604,7403,ANTICLOCKWISE
587724197200724131,10000,410326,2089,ANTICLOCKWISE
587724197201707115,10000,410335,2840,CLOCKWISE
587724197202493564,10000,408942,3396,CLOCKWISE
587724197203607692,10000,408953,417,ANTICLOCKWISE
587724197204525280,10000,407559,3299,CLOCKWISE
587724197205901456,10000,406167,4452,ANTICLOCKWISE
587724197206950029,10000,406177,3798,ANTICLOCKWISE
587724197207146751,10000,406179,2374,ANTICLOCKWISE
587724197209636900,10000,403392,1545,ANTICLOCKWISE
587724197209702533,10000,403393,1383,ANTICLOCKWISE
587724197742641304,10000,410372,2826,ANTICLOCKWISE
587724197742641499,10000,408972,4727,ANTICLOCKWISE
587724197745066130,10000,407593,1824,ANTICLOCKWISE
587724197745197190,10000,407594,1510,ANTICLOCKWISE
587724197745787000,10000,406195,5457,CLOCKWISE
587724197747359877,10000,404805,4273,CLOCKWISE
587724198276038851,10000,414533,1080,ANTICLOCKWISE
587724198276890723,10000,413144,3820,CLOCKWISE
587724198277021897,10000,413146,791,CLOCKWISE
587724198278463763,10000,413159,2231,CLOCKWISE
587724198279184676,10000,411768,236,ANTICLOCKWISE
587724198279577765,10000,411771,1544,CLOCKWISE
587724198280167575,10000,410378,4242,CLOCKWISE
587724198280757392,10000,410384,1553,CLOCKWISE
587724198281216148,10000,410388,1727,ANTICLOCKWISE
587724198282002535,10000,408995,3330,ANTICLOCKWISE
587724198282658016,10000,409001,4308,CLOCKWISE
587724198282658021,10000,409001,4552,ANTICLOCKWISE
587724198282854530,10000,409003,3875,ANTICLOCKWISE
587724198283575326,10000,407607,5361,ANTICLOCKWISE
587724198283903051,10000,407611,2270,CLOCKWISE
587724198284034174,10000,407612,1129,ANTICLOCKWISE
587724198813499597,10000,415932,2213,ANTICLOCKWISE
587724198814154964,10000,415938,1402,ANTICLOCKWISE
587724198815989925,10000,414561,476,CLOCKWISE
587724198816776326,10000,414568,804,CLOCKWISE
587724198817825040,10000,413182,898,ANTICLOCKWISE
587724198818611337,10000,411791,2084,CLOCKWISE
587724198820184095,10000,410407,2261,CLOCKWISE
587724198822281326,10000,406221,535,ANTICLOCKWISE
587724199349846160,10000,418711,2532,ANTICLOCKWISE
587724199350894753,10000,417329,814,CLOCKWISE
587724199351550055,10000,417335,667,CLOCKWISE
587724199352598665,10000,417344,2986,CLOCKWISE
587724199352926375,10000,415955,3891,CLOCKWISE
587724199354105880,10000,415966,1404,CLOCKWISE
587724199354105909,10000,415966,1825,CLOCKWISE
587724199354106018,10000,414572,2368,ANTICLOCKWISE
587724199358824662,10000,410424,746,ANTICLOCKWISE
587724199886258329,10000,420097,2114,ANTICLOCKWISE
587724199888748651,10000,420120,382,ANTICLOCKWISE
587724199892222201,10000,415978,1158,CLOCKWISE
587724199893991702,10000,414600,956,CLOCKWISE
587724199894057115,10000,414600,3523,ANTICLOCKWISE
587724231563477157,10000,410332,3334,CLOCKWISE
587724231567933552,10000,408973,825,ANTICLOCKWISE
587724231567999111,10000,407572,1826,CLOCKWISE
587724231570030743,10000,406186,3353,ANTICLOCKWISE
587724232100675692,10000,413131,1346,ANTICLOCKWISE
587724232101199908,10000,411738,1069,ANTICLOCKWISE
587724232101396582,10000,413138,1493,ANTICLOCKWISE
587724232103297136,10000,411757,1812,ANTICLOCKWISE
587724232103952497,10000,411763,2190,ANTICLOCKWISE
587724232105132134,10000,410376,1359,CLOCKWISE
587724232105590999,10000,408980,2739,CLOCKWISE
587724232108998803,10000,406205,4507,CLOCKWISE
587724232109654104,10000,404807,2959,CLOCKWISE
587724232110899323,10000,403413,7703,CLOCKWISE
587724232367997106,10000,413121,2337,CLOCKWISE
587724232638070966,10000,415926,1774,ANTICLOCKWISE
587724232643051693,10000,410386,1280,ANTICLOCKWISE
587724232643117117,10000,411784,3634,ANTICLOCKWISE
587724232643969248,10000,410394,2882,ANTICLOCKWISE
587724232644755619,10000,409001,4103,ANTICLOCKWISE
587724232645869766,10000,407610,242,ANTICLOCKWISE
587724232646394198,10000,407615,25,CLOCKWISE
587724232646787166,10000,406214,1578,ANTICLOCKWISE
587724233173762172,10000,417307,2858,CLOCKWISE
587724233173827648,10000,417307,2883,CLOCKWISE
587724233175924976,10000,415935,1466,ANTICLOCKWISE
587724233176383714,10000,415939,2737,CLOCKWISE
587724233178677401,10000,414566,2909,CLOCKWISE
587724233179332766,10000,414572,1464,ANTICLOCKWISE
587724233183002767,10000,410414,184,CLOCKWISE
587724233712140421,10000,418713,1611,CLOCKWISE
587724233712533597,10000,420106,2635,CLOCKWISE
587724233712861260,10000,418719,3387,CLOCKWISE
587724233713057938,10000,418721,3099,CLOCKWISE
587724233714106492,10000,417339,631,CLOCKWISE
587724233714958482,10000,418738,4911,ANTICLOCKWISE
587724233716465892,10000,417361,1112,ANTICLOCKWISE
587724233720004940,10000,411813,4353,CLOCKWISE
587724233720332513,10000,411816,2640,ANTICLOCKWISE
587724234248224914,10000,421484,272,ANTICLOCKWISE
587724234248945837,10000,421490,2591,ANTICLOCKWISE
587724234251305087,10000,420124,410,CLOCKWISE
587724234251436188,10000,420125,2838,CLOCKWISE
587724234251436262,10000,420125,3114,CLOCKWISE
587724234251698404,10000,420128,704,ANTICLOCKWISE
587724234256089275,10000,415994,1407,CLOCKWISE
587724234256220340,10000,415995,3101,ANTICLOCKWISE
587724234256679132,10000,415999,3714,ANTICLOCKWISE
587724234257465503,10000,414612,3880,CLOCKWISE
587724240150986858,10000,276013,7326,CLOCKWISE
587724240151707835,10000,277442,5751,CLOCKWISE
587724240151838814,10000,277443,3176,ANTICLOCKWISE
587724240152690778,10000,278873,11296,CLOCKWISE
587724240157868136,10000,287477,5044,CLOCKWISE
587724240160882963,10000,293227,319,CLOCKWISE
587724240161603682,10000,293233,3491,CLOCKWISE
587724240687857745,10000,278857,9949,CLOCKWISE
587724240688251051,10000,278861,5478,CLOCKWISE
587724240688382084,10000,278862,8187,ANTICLOCKWISE
587724240688906442,10000,280291,3783,CLOCKWISE
587724240692248580,10000,286026,398,ANTICLOCKWISE
587724240697426120,10000,294656,839,ANTICLOCKWISE
587724241225187411,10000,281710,1162,ANTICLOCKWISE
587724241225842822,10000,281716,3179,ANTICLOCKWISE
587724241230037007,10000,288892,3790,ANTICLOCKWISE
587724241231020118,10000,290331,2808,CLOCKWISE
587724241232461948,10000,293206,5375,CLOCKWISE
587724241232724100,10000,293209,1454,CLOCKWISE
587724241232724106,10000,293209,1231,ANTICLOCKWISE
587724241233182953,10000,294645,5285,CLOCKWISE
587724241234034872,10000,296085,4151,ANTICLOCKWISE
587724241234886833,10000,297527,4177,ANTICLOCKWISE
587724241235017883,10000,297528,3962,ANTICLOCKWISE
587724241766318208,10000,290317,2338,ANTICLOCKWISE
587724241769267452,10000,296070,2484,CLOCKWISE
587724241771036829,10000,298954,3421,ANTICLOCKWISE
587724242300895356,10000,288866,2398,ANTICLOCKWISE
587724242301223015,10000,288869,1265,ANTICLOCKWISE
587724242302795891,10000,291743,3457,ANTICLOCKWISE
587724242303844610,10000,293185,1497,CLOCKWISE
587724242304499886,10000,294623,1320,ANTICLOCKWISE
587724242304565368,10000,294624,245,CLOCKWISE
587724242306072698,10000,297503,3805,ANTICLOCKWISE
587724242834817212,10000,287409,3057,ANTICLOCKWISE
587724242837045355,10000,290289,6522,ANTICLOCKWISE
587724242837700709,10000,291725,6800,ANTICLOCKWISE
587724242839273614,10000,293172,30,ANTICLOCKWISE
587724242840256668,10000,296045,2430,ANTICLOCKWISE
587724242841305270,10000,297488,6283,ANTICLOCKWISE
587724242841501703,10000,297490,854,CLOCKWISE
587724648175566994,10000,312298,4119,ANTICLOCKWISE
587724648180416563,10000,310904,8167,CLOCKWISE
587724648180482173,10000,310905,949,ANTICLOCKWISE
587724648180875463,10000,310908,7271,CLOCKWISE
587724648181989385,10000,312356,5160,ANTICLOCKWISE
587724648182120634,10000,310920,3518,ANTICLOCKWISE
587724648182120707,10000,310920,2753,CLOCKWISE
587724648183234759,10000,310930,7390,ANTICLOCKWISE
587724648188215315,10000,310975,6648,CLOCKWISE
587724648190181499,10000,312432,242,ANTICLOCKWISE
587724648190378175,10000,310995,5813,CLOCKWISE
587724648191819954,10000,312447,1522,ANTICLOCKWISE
587724648709947597,10000,315154,7437,ANTICLOCKWISE
587724648710406302,10000,315158,4502,CLOCKWISE
587724648710406370,10000,315158,5920,CLOCKWISE
587724648710406371,10000,315158,5938,CLOCKWISE
587724648713093282,10000,315183,2266,ANTICLOCKWISE
587724648716828817,10000,313777,2355,CLOCKWISE
587724648717156590,10000,313780,4183,CLOCKWISE
587724648717549851,10000,313784,3416,CLOCKWISE
587724648718139602,10000,313789,3308,CLOCKWISE
587724648718860539,10000,313796,1298,CLOCKWISE
587724648720040138,10000,313807,2853,ANTICLOCKWISE
587724648721285288,10000,313818,3164,ANTICLOCKWISE
587724648721416314,10000,313819,3117,CLOCKWISE
587724648723054727,10000,313834,1762,ANTICLOCKWISE
587724648725348468,10000,313855,2549,CLOCKWISE
587724648727183511,10000,313872,2719,ANTICLOCKWISE
587724649247211753,10000,318038,2767,CLOCKWISE
587724649248325822,10000,316608,4529,CLOCKWISE
587724649248915564,10000,318053,3515,CLOCKWISE
587724649249505341,10000,316619,144,CLOCKWISE
587724649253109956,10000,316652,2294,ANTICLOCKWISE
587724649254420690,10000,316664,1075,CLOCKWISE
587724649255207098,10000,316671,3608,ANTICLOCKWISE
587724649255272543,10000,316672,425,CLOCKWISE
587724649255338079,10000,316672,2873,CLOCKWISE
587724649256124521,10000,315239,5269,ANTICLOCKWISE
587724649256910987,10000,316686,13846,ANTICLOCKWISE
587724649257042114,10000,316688,4300,ANTICLOCKWISE
587724649261432996,10000,316728,1720,CLOCKWISE
587724649265692723,10000,316767,765,ANTICLOCKWISE
587724649265692724,10000,316767,568,ANTICLOCKWISE
587724649266020474,10000,316770,5246,ANTICLOCKWISE
587724649784082620,10000,320918,6336,CLOCKWISE
587724649785524436,10000,319491,3485,CLOCKWISE
587724649786507428,10000,319500,1967,ANTICLOCKWISE
587724649786900593,10000,319503,4993,ANTICLOCKWISE
587724649787293817,10000,319507,3044,ANTICLOCKWISE
587724649792667829,10000,318116,5946,CLOCKWISE
587724649792930030,10000,319559,1639,CLOCKWISE
587724649793650731,10000,318125,12275,ANTICLOCKWISE
587724649795879039,10000,319585,7108,ANTICLOCKWISE
587724649801449604,10000,318196,4761,CLOCKWISE
587724649801449608,10000,318196,4750,CLOCKWISE
587724650320036077,10000,323789,11330,ANTICLOCKWISE
587724650320232637,10000,322351,7998,ANTICLOCKWISE
587724650321150197,10000,322360,3835,ANTICLOCKWISE
587724650321412313,10000,322362,7159,ANTICLOCKWISE
587724650321543358,10000,322363,13967,ANTICLOCKWISE
587724650323116235,10000,320938,763,CLOCKWISE
587724650328359026,10000,320985,5127,ANTICLOCKWISE
587724650333536363,10000,321033,1465,CLOCKWISE
587724650334519455,10000,321041,12824,CLOCKWISE
587724650334716011,10000,321043,12457,ANTICLOCKWISE
587724650335305890,10000,321049,2107,ANTICLOCKWISE
587724650335568060,10000,321051,5061,CLOCKWISE
587724650856775705,10000,325228,6706,ANTICLOCKWISE
587724650859659379,10000,323814,5804,CLOCKWISE
587724650869883027,10000,323908,2987,ANTICLOCKWISE
587724650869948519,10000,323908,6633,CLOCKWISE
587724650871455843,10000,323922,10812,ANTICLOCKWISE
587724650874339426,10000,323948,15186,CLOCKWISE
587725039014379682,10000,310896,3623,ANTICLOCKWISE
587725039015100491,10000,309464,7826,CLOCKWISE
587725039016017950,10000,310911,566,ANTICLOCKWISE
587725039020146853,10000,309511,1710,CLOCKWISE
587725039020998805,10000,309518,4950,ANTICLOCKWISE
587725039021195377,10000,309520,3672,CLOCKWISE
587725039021392027,10000,309522,1801,ANTICLOCKWISE
587725039022899325,10000,310974,3622,CLOCKWISE
587725039023620272,10000,309542,5635,ANTICLOCKWISE
587725039023882386,10000,310983,1862,CLOCKWISE
587725039024013431,10000,309546,4152,CLOCKWISE
587725039551840406,10000,312339,6537,ANTICLOCKWISE
587725039552233654,10000,312343,5203,ANTICLOCKWISE
587725039552364715,10000,313783,7668,ANTICLOCKWISE
587725039556034682,10000,312377,5809,CLOCKWISE
587725039556296812,10000,312380,2612,CLOCKWISE
587725039557083301,10000,312387,5456,ANTICLOCKWISE
587725039557411078,10000,312390,6875,ANTICLOCKWISE
587725039558197379,10000,312397,4747,CLOCKWISE
587725039558263024,10000,312398,4802,CLOCKWISE
587725039558393976,10000,312399,2650,ANTICLOCKWISE
587725039561277607,10000,312425,7536,ANTICLOCKWISE
587725039561539800,10000,312428,1317,ANTICLOCKWISE
587725039562981562,10000,312441,9340,ANTICLOCKWISE
587725039819489424,10000,312332,4330,ANTICLOCKWISE
587725040091136092,10000,315240,5459,CLOCKWISE
587725040091332791,10000,315242,10832,CLOCKWISE
587725040091660370,10000,315245,8535,ANTICLOCKWISE
587725040091988170,10000,315248,13874,CLOCKWISE
587725040093102209,10000,315258,6112,ANTICLOCKWISE
587725040094150927,10000,315268,5755,CLOCKWISE
587725040095330473,10000,315279,1670,ANTICLOCKWISE
587725040095396049,10000,315279,5656,ANTICLOCKWISE
587725040097034432,10000,315295,798,ANTICLOCKWISE
587725040097034444,10000,315295,1231,CLOCKWISE
587725040098083033,10000,315304,7079,ANTICLOCKWISE
587725040625647714,10000,318099,3354,ANTICLOCKWISE
587725040625844391,10000,316661,2393,ANTICLOCKWISE
587725040626237583,10000,318104,5866,ANTICLOCKWISE
587725040626761824,10000,318109,2866,ANTICLOCKWISE
587725040628859010,10000,318128,11101,CLOCKWISE
587725040629317693,10000,316692,5720,CLOCKWISE
587725040630366342,10000,316702,5222,ANTICLOCKWISE
587725040630759592,10000,316706,1705,ANTICLOCKWISE
587725040633315474,10000,316729,1578,ANTICLOCKWISE
587725040634364147,10000,316739,2399,ANTICLOCKWISE
587725041164419138,10000,319556,5909,CLOCKWISE
587725041167761578,10000,319587,2851,CLOCKWISE
587725041168613569,10000,319595,2417,ANTICLOCKWISE
587725041169989647,10000,319607,2850,CLOCKWISE
587725041171103918,10000,319617,5773,ANTICLOCKWISE
587725041174708457,10000,319651,531,CLOCKWISE
587725041699586155,10000,322421,868,ANTICLOCKWISE
587725041701224580,10000,322436,551,CLOCKWISE
587725041702011010,10000,322443,3321,ANTICLOCKWISE
587725041705943233,10000,322479,3113,ANTICLOCKWISE
587725041705943244,10000,322479,3788,ANTICLOCKWISE
587725041706270846,10000,322482,3305,CLOCKWISE
587725041707188303,10000,322490,5185,ANTICLOCKWISE
587725041707188381,10000,322490,3609,CLOCKWISE
587725041707647104,10000,322495,144,ANTICLOCKWISE
587725041709809846,10000,322514,5487,ANTICLOCKWISE
587725041709875308,10000,322515,495,CLOCKWISE
587725073913807325,10000,326563,5066,CLOCKWISE
587725073915904403,10000,326582,11095,CLOCKWISE
587725073916100936,10000,326584,7669,ANTICLOCKWISE
587725073919115472,10000,326611,9281,CLOCKWISE
587725073919770915,10000,326618,5271,CLOCKWISE
587725073921147128,10000,326630,3474,ANTICLOCKWISE
587725074447926129,10000,327978,1681,ANTICLOCKWISE
587725074448843240,10000,329426,6312,CLOCKWISE
587725074449826347,10000,327996,373,CLOCKWISE
587725074450350580,10000,329440,4741,ANTICLOCKWISE
587725074453758312,10000,329472,71,CLOCKWISE
587725074457362652,10000,328064,8909,ANTICLOCKWISE
587725074716099034,10000,327975,5882,ANTICLOCKWISE
587725074984862332,10000,330859,480,ANTICLOCKWISE
587725074984928016,10000,330859,7669,ANTICLOCKWISE
587725074987090321,10000,332319,2107,CLOCKWISE
587725074987418112,10000,332322,5359,ANTICLOCKWISE
587725074987418117,10000,332322,5411,ANTICLOCKWISE
587725074988138626,10000,332329,325,ANTICLOCKWISE
587725074988728465,10000,330894,3850,ANTICLOCKWISE
587725074989187409,10000,330898,2417,CLOCKWISE
587725074990104799,10000,332346,7587,CLOCKWISE
587725074991677745,10000,330921,5504,CLOCKWISE
587725074994692275,10000,332388,7098,ANTICLOCKWISE
587725074994823341,10000,332389,7491,CLOCKWISE
587725075522191698,10000,333743,3243,ANTICLOCKWISE
587725075522257471,10000,333744,516,CLOCKWISE
587725075522519470,10000,333746,812,ANTICLOCKWISE
587725075522978311,10000,333750,4629,ANTICLOCKWISE
587725075525730601,10000,333775,4990,ANTICLOCKWISE
587725075526189221,10000,333779,9050,CLOCKWISE
587725075526451575,10000,333782,3946,ANTICLOCKWISE
587725075528220929,10000,333798,3260,ANTICLOCKWISE
587725075530186805,10000,333816,2928,CLOCKWISE
587725075530514645,10000,333819,5160,CLOCKWISE
587725075530645639,10000,333820,2255,CLOCKWISE
587725081970606230,10000,312270,6668,CLOCKWISE
587725082500989247,10000,316530,4446,ANTICLOCKWISE
587725082501251310,10000,316532,7592,ANTICLOCKWISE
587725082504921271,10000,315126,7915,ANTICLOCKWISE
587725082505511002,10000,315131,7356,ANTICLOCKWISE
587725082506625228,10000,315142,2814,ANTICLOCKWISE
587725082508001422,10000,315154,7320,ANTICLOCKWISE
587725082510491816,10000,313737,2167,ANTICLOCKWISE
587725082510885110,10000,313740,3558,CLOCKWISE
587725083038580769,10000,317976,10288,CLOCKWISE
